Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score
2022,Wisconsin,Information not available,à
2022,Wyoming,Eligible,249.4623
2022,Wyoming,Not eligible,264.8104
2022,Wyoming,Information not available,à
2019,National,Eligible,249.5772
2019,National,Not eligible,274.9423
2019,National,Information not available,276.0807
2019,Alabama,Eligible,242.8245
2019,Alabama,Not eligible,263.9550
2019,Alabama,Information not available,à
2019,Alaska,Eligible,239.7229
2019,Alaska,Not eligible,264.1527
2019,Alaska,Information not available,à
2019,Arizona,Eligible,248.1781
2019,Arizona,Not eligible,272.2196
2019,Arizona,Information not available,281.4718
2019,Arkansas,Eligible,249.5714
2019,Arkansas,Not eligible,273.7237
2019,Arkansas,Information not available,à
2019,California,Eligible,247.6083
2019,California,Not eligible,275.7137
2019,California,Information not available,à
2019,Colorado,Eligible,249.5945
2019,Colorado,Not eligible,277.9877
2019,Colorado,Information not available,à
2019,Connecticut,Eligible,253.6334
2019,Connecticut,Not eligible,279.8705
2019,Connecticut,Information not available,à
2019,Delaware,Eligible,245.0595
2019,Delaware,Not eligible,265.0196
2019,Delaware,Information not available,à
2019,District of Columbia,Eligible,237.7724
2019,District of Columbia,Not eligible,276.9807
2019,District of Columbia,Information not available,à
2019,DoDEA,Eligible,à
2019,DoDEA,Not eligible,à
2019,DoDEA,Information not available,à
2019,Florida,Eligible,254.5599
2019,Florida,Not eligible,275.6207
2019,Florida,Information not available,à
2019,Georgia,Eligible,251.9713
2019,Georgia,Not eligible,278.3411
2019,Georgia,Information not available,à
2019,Hawaii,Eligible,245.4772
2019,Hawaii,Not eligible,267.1265
2019,Hawaii,Information not available,à
2019,Idaho,Eligible,254.7763
2019,Idaho,Not eligible,275.7136
2019,Idaho,Information not available,à
2019,Illinois,Eligible,251.3640
2019,Illinois,Not eligible,278.0021
2019,Illinois,Information not available,à
2019,Indiana,Eligible,255.1478
2019,Indiana,Not eligible,275.6501
2019,Indiana,Information not available,à
2019,Iowa,Eligible,246.0719
2019,Iowa,Not eligible,273.4911
2019,Iowa,Information not available,à
2019,Kansas,Eligible,251.2165
2019,Kansas,Not eligible,273.9553
2019,Kansas,Information not available,à
2019,Kentucky,Eligible,252.9967
2019,Kentucky,Not eligible,276.7506
2019,Kentucky,Information not available,à
2019,Louisiana,Eligible,249.3081
2019,Louisiana,Not eligible,273.4168
2019,Louisiana,Information not available,à
2019,Maine,Eligible,255.1556
2019,Maine,Not eligible,272.6775
2019,Maine,Information not available,à
2019,Maryland,Eligible,247.4223
2019,Maryland,Not eligible,276.3741
2019,Maryland,Information not available,à
2019,Massachusetts,Eligible,253.0715
2019,Massachusetts,Not eligible,280.7704
2019,Massachusetts,Information not available,à
2019,Michigan,Eligible,250.2968
2019,Michigan,Not eligible,273.9361
2019,Michigan,Information not available,à
2019,Minnesota,Eligible,246.8927
2019,Minnesota,Not eligible,273.1134
2019,Minnesota,Information not available,à
2019,Mississippi,Eligible,250.4978
2019,Mississippi,Not eligible,275.3850
2019,Mississippi,Information not available,à
2019,Missouri,Eligible,251.4275
2019,Missouri,Not eligible,275.0472
2019,Missouri,Information not available,à
2019,Montana,Eligible,253.4627
2019,Montana,Not eligible,273.3334
2019,Montana,Information not available,à
2019,Nebraska,Eligible,249.5593
2019,Nebraska,Not eligible,274.6302
2019,Nebraska,Information not available,à
2019,Nevada,Eligible,249.2417
2019,Nevada,Not eligible,270.7229
2019,Nevada,Information not available,à
2019,New Hampshire,Eligible,250.2757
2019,New Hampshire,Not eligible,274.6591
2019,New Hampshire,Information not available,258.3979
2019,New Jersey,Eligible,250.6468
2019,New Jersey,Not eligible,281.4127
2019,New Jersey,Information not available,à
2019,New Mexico,Eligible,244.2387
2019,New Mexico,Not eligible,271.8469
2019,New Mexico,Information not available,à
2019,New York,Eligible,250.1669
2019,New York,Not eligible,272.9734
2019,New York,Information not available,282.9000
2019,North Carolina,Eligible,249.3185
2019,North Carolina,Not eligible,272.5145
2019,North Carolina,Information not available,à
2019,North Dakota,Eligible,250.4826
2019,North Dakota,Not eligible,268.9655
2019,North Dakota,Information not available,à
2019,Ohio,Eligible,249.8090
2019,Ohio,Not eligible,280.6197
2019,Ohio,Information not available,à
2019,Oklahoma,Eligible,250.0360
2019,Oklahoma,Not eligible,270.3645
2019,Oklahoma,Information not available,à
2019,Oregon,Eligible,253.7687
2019,Oregon,Not eligible,276.2533
2019,Oregon,Information not available,à
2019,Pennsylvania,Eligible,249.8363
2019,Pennsylvania,Not eligible,276.0351
2019,Pennsylvania,Information not available,à
2019,Rhode Island,Eligible,244.8849
2019,Rhode Island,Not eligible,277.1467
2019,Rhode Island,Information not available,à
2019,South Carolina,Eligible,249.0159
2019,South Carolina,Not eligible,272.5790
2019,South Carolina,Information not available,à
2019,South Dakota,Eligible,248.1300
2019,South Dakota,Not eligible,268.7923
2019,South Dakota,Information not available,à
2019,Tennessee,Eligible,248.0176
2019,Tennessee,Not eligible,268.3807
2019,Tennessee,Information not available,à
2019,Texas,Eligible,245.8984
2019,Texas,Not eligible,269.8566
2019,Texas,Information not available,268.7095
2019,Utah,Eligible,254.0943
2019,Utah,Not eligible,274.6530
2019,Utah,Information not available,à
2019,Vermont,Eligible,256.7547
2019,Vermont,Not eligible,275.0625
2019,Vermont,Information not available,263.1985
2019,Virginia,Eligible,245.5955
2019,Virginia,Not eligible,271.5884
2019,Virginia,Information not available,à
2019,Washington,Eligible,249.3306
2019,Washington,Not eligible,281.7066
2019,Washington,Information not available,à
2019,West Virginia,Eligible,247.6189
2019,West Virginia,Not eligible,262.3961
2019,West Virginia,Information not available,à
2019,Wisconsin,Eligible,252.4312
2019,Wisconsin,Not eligible,278.2187
2019,Wisconsin,Information not available,à
2019,Wyoming,Eligible,252.8442
2019,Wyoming,Not eligible,270.9095
2019,Wyoming,Information not available,à
2017,National,Eligible,253.2830
2017,National,Not eligible,277.4589
2017,National,Information not available,279.9220
2017,Alabama,Eligible,247.2443
2017,Alabama,Not eligible,274.1743
2017,Alabama,Information not available,à
2017,Alaska,Eligible,246.2349
2017,Alaska,Not eligible,267.9251
2017,Alaska,Information not available,à
2017,Arizona,Eligible,253.7610
2017,Arizona,Not eligible,271.7800
2017,Arizona,Information not available,278.6295
2017,Arkansas,Eligible,252.0842
2017,Arkansas,Not eligible,272.0264
2017,Arkansas,Information not available,à
2017,California,Eligible,251.0089
2017,California,Not eligible,278.5473
2017,California,Information not available,254.0061
2017,Colorado,Eligible,254.1794
2017,Colorado,Not eligible,281.1164
2017,Colorado,Information not available,à
2017,Connecticut,Eligible,254.4218
2017,Connecticut,Not eligible,281.9402
2017,Connecticut,Information not available,à
2017,Delaware,Eligible,252.3353
2017,Delaware,Not eligible,267.8793
2017,Delaware,Information not available,à
2017,District of Columbia,Eligible,236.8677
2017,District of Columbia,Not eligible,277.0715
2017,District of Columbia,Information not available,à
2017,DoDEA,Eligible,à
2017,DoDEA,Not eligible,à
2017,DoDEA,Information not available,à
2017,Florida,Eligible,257.4352
2017,Florida,Not eligible,278.1675
2017,Florida,Information not available,à
2017,Georgia,Eligible,255.9921
2017,Georgia,Not eligible,279.7381
2017,Georgia,Information not available,275.5444
2017,Hawaii,Eligible,249.9137
2017,Hawaii,Not eligible,270.0542
2017,Hawaii,Information not available,à
2017,Idaho,Eligible,260.3381
2017,Idaho,Not eligible,276.0687
2017,Idaho,Information not available,279.6896
2017,Illinois,Eligible,255.1507
2017,Illinois,Not eligible,277.1107
2017,Illinois,Information not available,à
2017,Indiana,Eligible,260.8819
2017,Indiana,Not eligible,281.3796
2017,Indiana,Information not available,à
2017,Iowa,Eligible,252.6473
2017,Iowa,Not eligible,276.7506
2017,Iowa,Information not available,à
2017,Kansas,Eligible,253.8880
2017,Kansas,Not eligible,278.2916
2017,Kansas,Information not available,à
2017,Kentucky,Eligible,255.7124
2017,Kentucky,Not eligible,278.2295
2017,Kentucky,Information not available,à
2017,Louisiana,Eligible,249.2156
2017,Louisiana,Not eligible,273.2534
2017,Louisiana,Information not available,à
2017,Maine,Eligible,259.0302
2017,Maine,Not eligible,276.1798
2017,Maine,Information not available,à
2017,Maryland,Eligible,249.2956
2017,Maryland,Not eligible,279.7739
2017,Maryland,Information not available,à
2017,Massachusetts,Eligible,257.1868
2017,Massachusetts,Not eligible,285.1626
2017,Massachusetts,Information not available,à
2017,Michigan,Eligible,252.9142
2017,Michigan,Not eligible,275.2211
2017,Michigan,Information not available,à
2017,Minnesota,Eligible,250.7026
2017,Minnesota,Not eligible,278.3004
2017,Minnesota,Information not available,à
2017,Mississippi,Eligible,248.2230
2017,Mississippi,Not eligible,277.7319
2017,Mississippi,Information not available,à
2017,Missouri,Eligible,253.7074
2017,Missouri,Not eligible,276.1263
2017,Missouri,Information not available,à
2017,Montana,Eligible,258.2869
2017,Montana,Not eligible,273.6416
2017,Montana,Information not available,à
2017,Nebraska,Eligible,255.6372
2017,Nebraska,Not eligible,278.6809
2017,Nebraska,Information not available,à
2017,Nevada,Eligible,252.2556
2017,Nevada,Not eligible,270.6252
2017,Nevada,Information not available,à
2017,New Hampshire,Eligible,259.2691
2017,New Hampshire,Not eligible,280.3547
2017,New Hampshire,Information not available,à
2017,New Jersey,Eligible,257.6096
2017,New Jersey,Not eligible,285.2052
2017,New Jersey,Information not available,à
2017,New Mexico,Eligible,250.5272
2017,New Mexico,Not eligible,269.2886
2017,New Mexico,Information not available,à
2017,New York,Eligible,252.6291
2017,New York,Not eligible,275.3319
2017,New York,Information not available,à
2017,North Carolina,Eligible,250.0188
2017,North Carolina,Not eligible,273.5955
2017,North Carolina,Information not available,272.9515
2017,North Dakota,Eligible,252.3263
2017,North Dakota,Not eligible,270.6983
2017,North Dakota,Information not available,à
2017,Ohio,Eligible,251.1315
2017,Ohio,Not eligible,282.0196
2017,Ohio,Information not available,à
2017,Oklahoma,Eligible,254.3324
2017,Oklahoma,Not eligible,272.0100
2017,Oklahoma,Information not available,à
2017,Oregon,Eligible,257.1868
2017,Oregon,Not eligible,279.8088
2017,Oregon,Information not available,à
2017,Pennsylvania,Eligible,257.4523
2017,Pennsylvania,Not eligible,280.6332
2017,Pennsylvania,Information not available,à
2017,Rhode Island,Eligible,246.9666
2017,Rhode Island,Not eligible,280.4069
2017,Rhode Island,Information not available,à
2017,South Carolina,Eligible,249.3081
2017,South Carolina,Not eligible,274.4457
2017,South Carolina,Information not available,à
2017,South Dakota,Eligible,255.3169
2017,South Dakota,Not eligible,274.3207
2017,South Dakota,Information not available,à
2017,Tennessee,Eligible,252.0987
2017,Tennessee,Not eligible,271.0520
2017,Tennessee,Information not available,à
2017,Texas,Eligible,250.6877
2017,Texas,Not eligible,272.3844
2017,Texas,Information not available,266.0800
2017,Utah,Eligible,256.3252
2017,Utah,Not eligible,276.2823
2017,Utah,Information not available,à
2017,Vermont,Eligible,259.7459
2017,Vermont,Not eligible,280.4912
2017,Vermont,Information not available,à
2017,Virginia,Eligible,251.3162
2017,Virginia,Not eligible,276.8827
2017,Virginia,Information not available,à
2017,Washington,Eligible,257.6932
2017,Washington,Not eligible,282.3913
2017,Washington,Information not available,à
2017,West Virginia,Eligible,254.8580
2017,West Virginia,Not eligible,270.5485
2017,West Virginia,Information not available,à
2017,Wisconsin,Eligible,253.5136
2017,Wisconsin,Not eligible,277.4885
2017,Wisconsin,Information not available,267.9419
2017,Wyoming,Eligible,258.7169
2017,Wyoming,Not eligible,275.3024
2017,Wyoming,Information not available,à
2015,National,Eligible,252.6745
2015,National,Not eligible,276.6712
2015,National,Information not available,281.5433
2015,Alabama,Eligible,249.5898
2015,Alabama,Not eligible,270.3138
2015,Alabama,Information not available,à
2015,Alaska,Eligible,244.8279
2015,Alaska,Not eligible,273.9246
2015,Alaska,Information not available,à
2015,Arizona,Eligible,253.7216
2015,Arizona,Not eligible,273.5506
2015,Arizona,Information not available,280.0742
2015,Arkansas,Eligible,249.7026
2015,Arkansas,Not eligible,272.9920
2015,Arkansas,Information not available,à
2015,California,Eligible,248.7939
2015,California,Not eligible,273.4262
2015,California,Information not available,271.0532
2015,Colorado,Eligible,253.3547
2015,Colorado,Not eligible,279.6722
2015,Colorado,Information not available,à
2015,Connecticut,Eligible,255.6918
2015,Connecticut,Not eligible,282.2378
2015,Connecticut,Information not available,à
2015,Delaware,Eligible,252.7778
2015,Delaware,Not eligible,269.2924
2015,Delaware,Information not available,à
2015,District of Columbia,Eligible,238.5507
2015,District of Columbia,Not eligible,275.6014
2015,District of Columbia,Information not available,à
2015,DoDEA,Eligible,à
2015,DoDEA,Not eligible,à
2015,DoDEA,Information not available,à
2015,Florida,Eligible,256.5616
2015,Florida,Not eligible,274.6470
2015,Florida,Information not available,à
2015,Georgia,Eligible,253.0573
2015,Georgia,Not eligible,276.6190
2015,Georgia,Information not available,268.4846
2015,Hawaii,Eligible,246.9868
2015,Hawaii,Not eligible,267.9164
2015,Hawaii,Information not available,à
2015,Idaho,Eligible,259.3861
2015,Idaho,Not eligible,276.1114
2015,Idaho,Information not available,à
2015,Illinois,Eligible,255.7315
2015,Illinois,Not eligible,278.8749
2015,Illinois,Information not available,à
2015,Indiana,Eligible,256.8021
2015,Indiana,Not eligible,279.5078
2015,Indiana,Information not available,à
2015,Iowa,Eligible,255.7846
2015,Iowa,Not eligible,275.7137
2015,Iowa,Information not available,à
2015,Kansas,Eligible,255.5172
2015,Kansas,Not eligible,277.4483
2015,Kansas,Information not available,à
2015,Kentucky,Eligible,259.0402
2015,Kentucky,Not eligible,278.8172
2015,Kentucky,Information not available,à
2015,Louisiana,Eligible,248.8443
2015,Louisiana,Not eligible,267.3082
2015,Louisiana,Information not available,à
2015,Maine,Eligible,259.5123
2015,Maine,Not eligible,275.1910
2015,Maine,Information not available,à
2015,Maryland,Eligible,252.1227
2015,Maryland,Not eligible,279.2075
2015,Maryland,Information not available,à
2015,Massachusetts,Eligible,260.1709
2015,Massachusetts,Not eligible,285.5213
2015,Massachusetts,Information not available,à
2015,Michigan,Eligible,252.0350
2015,Michigan,Not eligible,274.6113
2015,Michigan,Information not available,à
2015,Minnesota,Eligible,254.6469
2015,Minnesota,Not eligible,278.6002
2015,Minnesota,Information not available,à
2015,Mississippi,Eligible,245.1336
2015,Mississippi,Not eligible,270.0799
2015,Mississippi,Information not available,à
2015,Missouri,Eligible,254.5896
2015,Missouri,Not eligible,277.5977
2015,Missouri,Information not available,à
2015,Montana,Eligible,258.5266
2015,Montana,Not eligible,278.5012
2015,Montana,Information not available,à
2015,Nebraska,Eligible,255.9124
2015,Nebraska,Not eligible,279.3259
2015,Nebraska,Information not available,à
2015,Nevada,Eligible,250.2275
2015,Nevada,Not eligible,269.9130
2015,Nevada,Information not available,à
2015,New Hampshire,Eligible,260.1170
2015,New Hampshire,Not eligible,279.6057
2015,New Hampshire,Information not available,à
2015,New Jersey,Eligible,251.8626
2015,New Jersey,Not eligible,279.9497
2015,New Jersey,Information not available,à
2015,New Mexico,Eligible,247.4741
2015,New Mexico,Not eligible,266.2734
2015,New Mexico,Information not available,à
2015,New York,Eligible,253.5505
2015,New York,Not eligible,275.1690
2015,New York,Information not available,à
2015,North Carolina,Eligible,248.7073
2015,North Carolina,Not eligible,277.0195
2015,North Carolina,Information not available,à
2015,North Dakota,Eligible,254.0701
2015,North Dakota,Not eligible,272.3538
2015,North Dakota,Information not available,à
2015,Ohio,Eligible,252.0944
2015,Ohio,Not eligible,278.7107
2015,Ohio,Information not available,à
2015,Oklahoma,Eligible,255.2627
2015,Oklahoma,Not eligible,272.3411
2015,Oklahoma,Information not available,à
2015,Oregon,Eligible,258.3699
2015,Oregon,Not eligible,278.8518
2015,Oregon,Information not available,à
2015,Pennsylvania,Eligible,252.9580
2015,Pennsylvania,Not eligible,282.4047
2015,Pennsylvania,Information not available,à
2015,Rhode Island,Eligible,250.0421
2015,Rhode Island,Not eligible,277.4380
2015,Rhode Island,Information not available,à
2015,South Carolina,Eligible,250.0763
2015,South Carolina,Not eligible,273.9619
2015,South Carolina,Information not available,à
2015,South Dakota,Eligible,255.8564
2015,South Dakota,Not eligible,273.7028
2015,South Dakota,Information not available,à
2015,Tennessee,Eligible,253.7114
2015,Tennessee,Not eligible,277.5892
2015,Tennessee,Information not available,à
2015,Texas,Eligible,251.8135
2015,Texas,Not eligible,272.0651
2015,Texas,Information not available,à
2015,Utah,Eligible,255.7683
2015,Utah,Not eligible,277.0797
2015,Utah,Information not available,à
2015,Vermont,Eligible,260.9057
2015,Vermont,Not eligible,282.2402
2015,Vermont,Information not available,à
2015,Virginia,Eligible,250.4675
2015,Virginia,Not eligible,277.5039
2015,Virginia,Information not available,à
2015,Washington,Eligible,253.6523
2015,Washington,Not eligible,280.5896
2015,Washington,Information not available,à
2015,West Virginia,Eligible,255.6269
2015,West Virginia,Not eligible,268.2976
2015,West Virginia,Information not available,à
2015,Wisconsin,Eligible,253.1679
2015,Wisconsin,Not eligible,277.5282
2015,Wisconsin,Information not available,278.1295
2015,Wyoming,Eligible,257.1701
2015,Wyoming,Not eligible,275.5654
2015,Wyoming,Information not available,à
2013,National,Eligible,254.0116
2013,National,Not eligible,278.2034
2013,National,Information not available,286.4265
2013,Alabama,Eligible,246.0760
2013,Alabama,Not eligible,272.0196
2013,Alabama,Information not available,à
2013,Alaska,Eligible,247.4444
2013,Alaska,Not eligible,272.6858
2013,Alaska,Information not available,à
2013,Arizona,Eligible,250.5767
2013,Arizona,Not eligible,272.8501
2013,Arizona,Information not available,274.0738
2013,Arkansas,Eligible,252.6288
2013,Arkansas,Not eligible,274.8436
2013,Arkansas,Information not available,à
2013,California,Eligible,250.8180
2013,California,Not eligible,276.2364
2013,California,Information not available,267.3802
2013,Colorado,Eligible,256.2118
2013,Colorado,Not eligible,280.9294
2013,Colorado,Information not available,à
2013,Connecticut,Eligible,255.7523
2013,Connecticut,Not eligible,284.2722
2013,Connecticut,Information not available,à
2013,Delaware,Eligible,255.2338
2013,Delaware,Not eligible,275.5452
2013,Delaware,Information not available,à
2013,District of Columbia,Eligible,240.7246
2013,District of Columbia,Not eligible,271.3077
2013,District of Columbia,Information not available,à
2013,DoDEA,Eligible,à
2013,DoDEA,Not eligible,à
2013,DoDEA,Information not available,à
2013,Florida,Eligible,257.2195
2013,Florida,Not eligible,276.9000
2013,Florida,Information not available,à
2013,Georgia,Eligible,255.2665
2013,Georgia,Not eligible,277.7026
2013,Georgia,Information not available,à
2013,Hawaii,Eligible,250.9982
2013,Hawaii,Not eligible,269.5130
2013,Hawaii,Information not available,à
2013,Idaho,Eligible,261.2047
2013,Idaho,Not eligible,277.4662
2013,Idaho,Information not available,à
2013,Illinois,Eligible,251.9850
2013,Illinois,Not eligible,279.5814
2013,Illinois,Information not available,à
2013,Indiana,Eligible,257.1717
2013,Indiana,Not eligible,275.8204
2013,Indiana,Information not available,à
2013,Iowa,Eligible,256.5930
2013,Iowa,Not eligible,276.6357
2013,Iowa,Information not available,à
2013,Kansas,Eligible,254.1328
2013,Kansas,Not eligible,277.5529
2013,Kansas,Information not available,à
2013,Kentucky,Eligible,257.9613
2013,Kentucky,Not eligible,280.7451
2013,Kentucky,Information not available,à
2013,Louisiana,Eligible,250.2771
2013,Louisiana,Not eligible,270.8405
2013,Louisiana,Information not available,à
2013,Maine,Eligible,260.2250
2013,Maine,Not eligible,275.7923
2013,Maine,Information not available,à
2013,Maryland,Eligible,259.8966
2013,Maryland,Not eligible,282.6999
2013,Maryland,Information not available,à
2013,Massachusetts,Eligible,259.5857
2013,Massachusetts,Not eligible,287.7969
2013,Massachusetts,Information not available,269.8512
2013,Michigan,Eligible,253.9719
2013,Michigan,Not eligible,276.0602
2013,Michigan,Information not available,à
2013,Minnesota,Eligible,254.5533
2013,Minnesota,Not eligible,279.0524
2013,Minnesota,Information not available,à
2013,Mississippi,Eligible,245.9822
2013,Mississippi,Not eligible,269.1525
2013,Mississippi,Information not available,à
2013,Missouri,Eligible,256.3420
2013,Missouri,Not eligible,277.0320
2013,Missouri,Information not available,à
2013,Montana,Eligible,261.2181
2013,Montana,Not eligible,278.4783
2013,Montana,Information not available,à
2013,Nebraska,Eligible,257.2071
2013,Nebraska,Not eligible,278.3902
2013,Nebraska,Information not available,à
2013,Nevada,Eligible,253.7004
2013,Nevada,Not eligible,271.6997
2013,Nevada,Information not available,à
2013,New Hampshire,Eligible,259.0230
2013,New Hampshire,Not eligible,279.0040
2013,New Hampshire,Information not available,à
2013,New Jersey,Eligible,260.9372
2013,New Jersey,Not eligible,284.5737
2013,New Jersey,Information not available,à
2013,New Mexico,Eligible,249.8090
2013,New Mexico,Not eligible,269.7354
2013,New Mexico,Information not available,à
2013,New York,Eligible,253.0550
2013,New York,Not eligible,277.5098
2013,New York,Information not available,à
2013,North Carolina,Eligible,253.0581
2013,North Carolina,Not eligible,278.4483
2013,North Carolina,Information not available,à
2013,North Dakota,Eligible,254.5174
2013,North Dakota,Not eligible,273.3160
2013,North Dakota,Information not available,à
2013,Ohio,Eligible,254.2086
2013,Ohio,Not eligible,279.6000
2013,Ohio,Information not available,à
2013,Oklahoma,Eligible,253.7345
2013,Oklahoma,Not eligible,271.2418
2013,Oklahoma,Information not available,à
2013,Oregon,Eligible,257.5115
2013,Oregon,Not eligible,281.3630
2013,Oregon,Information not available,à
2013,Pennsylvania,Eligible,258.0458
2013,Pennsylvania,Not eligible,281.6664
2013,Pennsylvania,Information not available,à
2013,Rhode Island,Eligible,251.9361
2013,Rhode Island,Not eligible,278.1070
2013,Rhode Island,Information not available,à
2013,South Carolina,Eligible,250.1449
2013,South Carolina,Not eligible,274.7453
2013,South Carolina,Information not available,à
2013,South Dakota,Eligible,258.7077
2013,South Dakota,Not eligible,273.3542
2013,South Dakota,Information not available,à
2013,Tennessee,Eligible,256.0907
2013,Tennessee,Not eligible,275.8242
2013,Tennessee,Information not available,à
2013,Texas,Eligible,254.0595
2013,Texas,Not eligible,276.1136
2013,Texas,Information not available,à
2013,Utah,Eligible,259.5337
2013,Utah,Not eligible,276.3862
2013,Utah,Information not available,à
2013,Vermont,Eligible,261.1085
2013,Vermont,Not eligible,282.2991
2013,Vermont,Information not available,à
2013,Virginia,Eligible,251.4773
2013,Virginia,Not eligible,276.4866
2013,Virginia,Information not available,à
2013,Washington,Eligible,258.1779
