Year,Jurisdiction,All students,Average scale score
2022,National,All students,235.9563
2022,Alabama,All students,230.0404
2022,Alaska,All students,225.9226
2022,Arizona,All students,231.9806
2022,Arkansas,All students,228.1393
2022,California,All students,230.3594
2022,Colorado,All students,236.1728
2022,Connecticut,All students,236.3563
2022,Delaware,All students,225.5786
2022,District of Columbia,All students,222.6462
2022,DoDEA,All students,249.6011
2022,Florida,All students,240.8305
2022,Georgia,All students,234.9095
2022,Hawaii,All students,236.5037
2022,Idaho,All students,236.1952
2022,Illinois,All students,237.0758
2022,Indiana,All students,239.1533
2022,Iowa,All students,239.8334
2022,Kansas,All students,235.0332
2022,Kentucky,All students,233.8035
2022,Louisiana,All students,228.5701
2022,Maine,All students,233.0733
2022,Maryland,All students,228.5867
2022,Massachusetts,All students,241.7318
2022,Michigan,All students,232.1974
2022,Minnesota,All students,239.0077
2022,Mississippi,All students,233.5590
2022,Missouri,All students,232.3793
2022,Montana,All students,238.5189
2022,Nebraska,All students,241.5587
2022,Nevada,All students,229.3482
2022,New Hampshire,All students,239.3942
2022,New Jersey,All students,239.2306
2022,New Mexico,All students,221.2536
2022,New York,All students,227.0901
2022,North Carolina,All students,235.9576
2022,North Dakota,All students,240.0811
2022,Ohio,All students,237.7589
2022,Oklahoma,All students,229.4876
2022,Oregon,All students,228.1917
2022,Pennsylvania,All students,237.5388
2022,Puerto Rico,All students,178.2477
2022,Rhode Island,All students,234.1299
2022,South Carolina,All students,234.2236
2022,South Dakota,All students,239.0067
2022,Tennessee,All students,236.3541
2022,Texas,All students,238.5758
2022,Utah,All students,239.6141
2022,Vermont,All students,234.2944
2022,Virginia,All students,236.3565
2022,Washington,All students,234.9328
2022,West Virginia,All students,225.9676
2022,Wisconsin,All students,240.2578
2022,Wyoming,All students,243.1457
2019,National,All students,240.5261
2019,Alabama,All students,229.6510
2019,Alaska,All students,232.3075
2019,Arizona,All students,237.6102
2019,Arkansas,All students,233.2521
2019,California,All students,234.7220
2019,Colorado,All students,241.8656
2019,Connecticut,All students,243.2595
2019,Delaware,All students,239.3197
2019,District of Columbia,All students,234.6352
2019,DoDEA,All students,250.4786
2019,Florida,All students,245.9576
2019,Georgia,All students,237.6485
2019,Hawaii,All students,238.5673
2019,Idaho,All students,241.8987
2019,Illinois,All students,237.3973
2019,Indiana,All students,244.8831
2019,Iowa,All students,240.6887
2019,Kansas,All students,239.4398
2019,Kentucky,All students,239.3107
2019,Louisiana,All students,231.2974
2019,Maine,All students,240.7576
2019,Maryland,All students,238.5625
2019,Massachusetts,All students,247.3194
2019,Michigan,All students,236.1516
2019,Minnesota,All students,248.4095
2019,Mississippi,All students,240.7069
2019,Missouri,All students,238.4102
2019,Montana,All students,241.1132
2019,Nebraska,All students,243.7710
2019,Nevada,All students,235.6263
2019,New Hampshire,All students,244.5592
2019,New Jersey,All students,245.9316
2019,New Mexico,All students,231.1103
2019,New York,All students,236.7307
2019,North Carolina,All students,241.4081
2019,North Dakota,All students,242.9284
2019,Ohio,All students,241.1405
2019,Oklahoma,All students,237.1954
2019,Oregon,All students,236.3490
2019,Pennsylvania,All students,243.9369
2019,Puerto Rico,All students,184.6787
2019,Rhode Island,All students,239.3440
2019,South Carolina,All students,236.7545
2019,South Dakota,All students,241.2963
2019,Tennessee,All students,239.6985
2019,Texas,All students,243.6165
2019,Utah,All students,243.7890
2019,Vermont,All students,238.8999
2019,Virginia,All students,246.8895
2019,Washington,All students,239.5108
2019,West Virginia,All students,231.4961
2019,Wisconsin,All students,241.6712
2019,Wyoming,All students,245.8434
2017,National,All students,239.7222
2017,Alabama,All students,232.1707
2017,Alaska,All students,230.4563
2017,Arizona,All students,234.4358
2017,Arkansas,All students,233.8481
2017,California,All students,232.2629
2017,Colorado,All students,240.6950
2017,Connecticut,All students,239.2377
2017,Delaware,All students,236.1276
2017,District of Columbia,All students,231.3205
2017,DoDEA,All students,248.5919
2017,Florida,All students,246.3677
2017,Georgia,All students,236.3836
2017,Hawaii,All students,237.9198
2017,Idaho,All students,239.9675
2017,Illinois,All students,238.1189
2017,Indiana,All students,246.5138
2017,Iowa,All students,243.1075
2017,Kansas,All students,241.2128
2017,Kentucky,All students,239.1783
2017,Louisiana,All students,228.9717
2017,Maine,All students,239.8990
2017,Maryland,All students,240.6013
2017,Massachusetts,All students,249.1027
2017,Michigan,All students,235.5555
2017,Minnesota,All students,248.8043
2017,Mississippi,All students,234.6942
2017,Missouri,All students,239.5023
2017,Montana,All students,240.7216
2017,Nebraska,All students,245.5907
2017,Nevada,All students,231.6852
2017,New Hampshire,All students,245.3198
2017,New Jersey,All students,247.8552
2017,New Mexico,All students,229.7043
2017,New York,All students,235.5485
2017,North Carolina,All students,240.9514
2017,North Dakota,All students,244.2435
2017,Ohio,All students,240.9284
2017,Oklahoma,All students,237.3263
2017,Oregon,All students,233.1325
2017,Pennsylvania,All students,241.6723
2017,Puerto Rico,All students,189.5317
2017,Rhode Island,All students,237.5549
2017,South Carolina,All students,234.0440
2017,South Dakota,All students,241.5889
2017,Tennessee,All students,236.6925
2017,Texas,All students,240.9437
2017,Utah,All students,242.4808
2017,Vermont,All students,240.8933
2017,Virginia,All students,248.0411
2017,Washington,All students,241.7010
2017,West Virginia,All students,236.0570
2017,Wisconsin,All students,240.3892
2017,Wyoming,All students,247.8206
2015,National,All students,240.3893
2015,Alabama,All students,230.9774
2015,Alaska,All students,236.3284
2015,Arizona,All students,237.6118
2015,Arkansas,All students,235.2155
2015,California,All students,231.5493
2015,Colorado,All students,241.5636
2015,Connecticut,All students,240.1595
2015,Delaware,All students,238.6780
2015,District of Columbia,All students,231.3075
2015,DoDEA,All students,247.5751
2015,Florida,All students,242.6643
2015,Georgia,All students,236.4525
2015,Hawaii,All students,237.8958
2015,Idaho,All students,238.7996
2015,Illinois,All students,237.3078
2015,Indiana,All students,247.6522
2015,Iowa,All students,243.3399
2015,Kansas,All students,241.0672
2015,Kentucky,All students,241.7278
2015,Louisiana,All students,234.2819
2015,Maine,All students,242.2447
2015,Maryland,All students,239.4998
2015,Massachusetts,All students,250.5658
2015,Michigan,All students,235.7289
2015,Minnesota,All students,249.5758
2015,Mississippi,All students,234.2431
2015,Missouri,All students,238.9649
2015,Montana,All students,241.2870
2015,Nebraska,All students,243.8637
2015,Nevada,All students,233.8270
2015,New Hampshire,All students,249.1506
2015,New Jersey,All students,245.3832
2015,New Mexico,All students,231.1672
2015,New York,All students,236.7969
2015,North Carolina,All students,243.7423
2015,North Dakota,All students,244.7138
2015,Ohio,All students,243.5986
2015,Oklahoma,All students,239.7605
2015,Oregon,All students,237.7467
2015,Pennsylvania,All students,243.3122
2015,Puerto Rico,All students,182.5972
2015,Rhode Island,All students,238.0017
2015,South Carolina,All students,237.0896
2015,South Dakota,All students,239.7231
2015,Tennessee,All students,240.6674
2015,Texas,All students,244.0025
2015,Utah,All students,242.5628
2015,Vermont,All students,243.2504
2015,Virginia,All students,246.6126
2015,Washington,All students,244.9814
2015,West Virginia,All students,235.2047
2015,Wisconsin,All students,243.3102
2015,Wyoming,All students,246.7598
2013,National,All students,241.5508
2013,Alabama,All students,232.8613
2013,Alaska,All students,236.1220
2013,Arizona,All students,240.3049
2013,Arkansas,All students,239.8905
2013,California,All students,233.6545
2013,Colorado,All students,246.9757
2013,Connecticut,All students,243.4403
2013,Delaware,All students,243.1078
2013,District of Columbia,All students,228.5673
2013,DoDEA,All students,245.0110
2013,Florida,All students,241.6758
2013,Georgia,All students,240.0472
2013,Hawaii,All students,243.3086
2013,Idaho,All students,240.7220
