Year,Jurisdiction,All students,Average scale score
2022,National,All students,217.4945
2022,Alabama,All students,213.3048
2022,Alaska,All students,203.8344
2022,Arizona,All students,215.4789
2022,Arkansas,All students,211.9524
2022,California,All students,214.3881
2022,Colorado,All students,222.8539
2022,Connecticut,All students,219.1480
2022,Delaware,All students,208.3016
2022,District of Columbia,All students,206.7531
2022,DoDEA,All students,235.1155
2022,Florida,All students,224.7395
2022,Georgia,All students,215.8823
2022,Hawaii,All students,218.8151
2022,Idaho,All students,214.8852
2022,Illinois,All students,217.7776
2022,Indiana,All students,217.3635
2022,Iowa,All students,218.0198
2022,Kansas,All students,214.6824
2022,Kentucky,All students,216.5977
2022,Louisiana,All students,212.3357
2022,Maine,All students,212.8131
2022,Maryland,All students,212.4801
2022,Massachusetts,All students,226.8036
2022,Michigan,All students,211.8415
2022,Minnesota,All students,215.4684
2022,Mississippi,All students,217.1605
2022,Missouri,All students,213.3552
2022,Montana,All students,218.7261
2022,Nebraska,All students,218.6137
2022,Nevada,All students,211.5251
2022,New Hampshire,All students,222.5373
2022,New Jersey,All students,222.7283
2022,New Mexico,All students,202.0810
2022,New York,All students,213.5726
2022,North Carolina,All students,216.1301
2022,North Dakota,All students,217.5346
2022,Ohio,All students,218.5617
2022,Oklahoma,All students,208.1083
2022,Oregon,All students,210.3141
2022,Pennsylvania,All students,218.8945
2022,Rhode Island,All students,217.2612
2022,South Carolina,All students,216.3888
2022,South Dakota,All students,218.0674
2022,Tennessee,All students,214.0008
2022,Texas,All students,214.1982
2022,Utah,All students,221.0859
2022,Vermont,All students,216.9829
2022,Virginia,All students,214.0356
2022,Washington,All students,216.6907
2022,West Virginia,All students,205.3105
2022,Wisconsin,All students,217.3736
2022,Wyoming,All students,224.7936
2019,National,All students,220.4741
2019,Alabama,All students,211.7285
2019,Alaska,All students,204.3736
2019,Arizona,All students,215.8412
2019,Arkansas,All students,215.0542
2019,California,All students,216.4813
2019,Colorado,All students,224.8624
2019,Connecticut,All students,224.3498
2019,Delaware,All students,217.6868
2019,District of Columbia,All students,214.2787
2019,DoDEA,All students,234.8964
2019,Florida,All students,224.7123
2019,Georgia,All students,217.9826
2019,Hawaii,All students,217.5321
2019,Idaho,All students,222.5059
2019,Illinois,All students,218.1722
2019,Indiana,All students,221.8130
2019,Iowa,All students,220.5029
2019,Kansas,All students,219.1336
2019,Kentucky,All students,220.9299
2019,Louisiana,All students,209.8731
2019,Maine,All students,221.2365
2019,Maryland,All students,219.8389
2019,Massachusetts,All students,231.0911
2019,Michigan,All students,218.2670
2019,Minnesota,All students,222.3932
2019,Mississippi,All students,219.3422
2019,Missouri,All students,218.0016
2019,Montana,All students,221.6791
2019,Nebraska,All students,222.3621
2019,Nevada,All students,217.6176
2019,New Hampshire,All students,224.2640
2019,New Jersey,All students,227.1894
2019,New Mexico,All students,207.5647
2019,New York,All students,219.6042
2019,North Carolina,All students,221.2800
2019,North Dakota,All students,221.1770
2019,Ohio,All students,221.9693
2019,Oklahoma,All students,216.3507
2019,Oregon,All students,217.7177
2019,Pennsylvania,All students,223.2134
2019,Rhode Island,All students,220.1935
2019,South Carolina,All students,215.9817
2019,South Dakota,All students,222.0045
2019,Tennessee,All students,219.0611
2019,Texas,All students,216.0450
2019,Utah,All students,225.1486
2019,Vermont,All students,221.8259
2019,Virginia,All students,223.6418
2019,Washington,All students,219.6928
2019,West Virginia,All students,213.1845
2019,Wisconsin,All students,219.7043
2019,Wyoming,All students,226.6903
2017,National,All students,221.8929
2017,Alabama,All students,216.4198
2017,Alaska,All students,207.0376
2017,Arizona,All students,215.4660
2017,Arkansas,All students,216.1080
2017,California,All students,215.4218
2017,Colorado,All students,224.6916
2017,Connecticut,All students,228.3553
2017,Delaware,All students,221.4822
2017,District of Columbia,All students,213.3820
2017,DoDEA,All students,234.4675
2017,Florida,All students,228.2726
2017,Georgia,All students,219.6829
2017,Hawaii,All students,216.3645
2017,Idaho,All students,222.7911
2017,Illinois,All students,220.3659
2017,Indiana,All students,226.4180
2017,Iowa,All students,221.7473
2017,Kansas,All students,223.2684
2017,Kentucky,All students,224.0806
2017,Louisiana,All students,211.6005
2017,Maine,All students,221.3886
2017,Maryland,All students,225.0493
2017,Massachusetts,All students,235.6997
2017,Michigan,All students,217.7532
2017,Minnesota,All students,224.5385
2017,Mississippi,All students,215.2033
2017,Missouri,All students,222.6811
2017,Montana,All students,222.3267
2017,Nebraska,All students,224.0962
2017,Nevada,All students,214.8417
2017,New Hampshire,All students,228.9006
2017,New Jersey,All students,232.9433
2017,New Mexico,All students,207.7044
2017,New York,All students,221.8840
2017,North Carolina,All students,223.9309
2017,North Dakota,All students,221.5193
2017,Ohio,All students,225.2611
2017,Oklahoma,All students,216.5878
2017,Oregon,All students,217.5311
2017,Pennsylvania,All students,224.9247
2017,Rhode Island,All students,223.3534
2017,South Carolina,All students,213.1278
2017,South Dakota,All students,221.7501
2017,Tennessee,All students,218.9528
2017,Texas,All students,214.8785
2017,Utah,All students,225.1592
2017,Vermont,All students,226.4453
2017,Virginia,All students,227.5984
2017,Washington,All students,223.1234
2017,West Virginia,All students,217.3164
2017,Wisconsin,All students,219.6127
2017,Wyoming,All students,226.8312
2015,National,All students,222.5178
2015,Alabama,All students,217.0491
2015,Alaska,All students,212.7926
2015,Arizona,All students,215.3113
2015,Arkansas,All students,218.0775
