Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,263,263,-0
1,39,California,251,259,8
2,42,Hawaii,251,258,7
3,22,Florida,257,263,6
4,43,Nevada,252,258,6
5,31,Georgia,258,262,5
6,30,Tennessee,258,262,4
7,37,Arizona,255,259,4
8,44,Louisiana,253,257,4
9,6,Utah,264,267,3
10,17,Maryland,262,264,3
11,2,New Jersey,268,270,3
12,3,Connecticut,267,270,3
13,10,Idaho,264,266,2
14,11,Washington,264,266,2
15,45,Mississippi,255,256,1
16,33,Rhode Island,261,262,1
17,12,Indiana,265,266,1
18,7,Wisconsin,266,267,1
19,38,South Carolina,258,259,1
20,29,North Carolina,262,263,1
21,40,Arkansas,258,259,1
22,9,Ohio,267,267,0
23,48,Alabama,253,253,0
24,1,Massachusetts,273,273,0
25,50,New Mexico,252,252,0
26,18,Pennsylvania,264,264,-0
27,8,Colorado,268,267,-0
28,21,Oregon,264,264,-0
29,15,Illinois,266,265,-2
30,28,Michigan,264,263,-2
31,4,Vermont,271,268,-2
32,19,Nebraska,266,264,-2
33,16,Wyoming,267,265,-2
34,5,New Hampshire,271,268,-3
35,46,Texas,259,256,-3
36,13,Maine,268,265,-3
37,26,Kansas,266,263,-3
38,25,Kentucky,266,263,-3
39,41,Oklahoma,262,258,-4
40,35,New York,265,262,-4
41,20,Minnesota,268,264,-4
42,47,West Virginia,260,256,-4
43,49,Alaska,256,252,-4
44,23,Missouri,267,263,-4
45,36,Delaware,265,260,-5
46,14,Montana,270,265,-5
47,32,Iowa,268,262,-5
48,34,Virginia,268,262,-6
49,24,North Dakota,270,263,-6
50,27,South Dakota,270,263,-7
