Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,201,207,6
1,7,Nevada,192,211,19
2,3,Mississippi,197,215,18
3,38,California,191,205,14
4,1,Florida,205,216,11
5,22,Pennsylvania,198,207,9
6,47,Arizona,194,202,8
7,35,Hawaii,197,206,8
8,37,Illinois,197,205,8
9,46,Louisiana,195,202,7
10,26,Georgia,200,207,7
11,8,New Jersey,203,210,7
12,48,New Mexico,195,201,6
13,49,Alabama,193,199,6
14,39,Maryland,199,205,6
15,33,Rhode Island,200,206,5
16,32,Michigan,201,206,5
17,15,Oklahoma,204,208,5
18,45,Tennessee,198,202,4
19,10,Indiana,205,209,4
20,9,Ohio,206,210,4
21,4,Massachusetts,210,213,4
22,6,Idaho,207,211,4
23,23,Arkansas,204,207,3
24,2,Wyoming,212,215,3
25,21,Virginia,205,208,3
26,5,Kentucky,209,212,2
27,12,Nebraska,207,209,2
28,18,North Carolina,206,208,2
29,17,Utah,206,208,2
30,16,New Hampshire,206,208,2
31,42,South Carolina,202,204,2
32,14,Colorado,207,208,2
33,40,Minnesota,203,205,1
34,27,Oregon,205,207,1
35,31,Texas,205,206,1
36,36,Connecticut,205,205,-0
37,19,Montana,208,208,-0
38,30,Kansas,206,206,-0
39,25,Missouri,208,207,-1
40,29,New York,208,206,-1
41,28,Washington,208,206,-2
42,43,Wisconsin,205,204,-2
43,24,Iowa,209,207,-2
44,13,North Dakota,210,209,-2
45,20,South Dakota,210,208,-2
46,50,Alaska,192,189,-3
47,11,Maine,213,209,-4
48,34,Vermont,214,206,-8
49,41,West Virginia,212,204,-8
50,44,Delaware,212,202,-9
