Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,235,241,6
1,23,Mississippi,223,241,18
2,4,Florida,234,246,12
3,25,Tennessee,228,240,12
4,32,Hawaii,227,239,12
5,30,Kentucky,229,239,11
6,28,Rhode Island,230,239,9
7,10,Utah,235,244,9
8,36,Arizona,229,238,9
9,49,New Mexico,223,231,9
10,43,Nevada,228,236,8
11,38,Oklahoma,229,237,8
12,9,Pennsylvania,236,244,8
13,3,Virginia,239,247,8
14,11,Nebraska,236,244,8
15,35,Georgia,230,238,7
16,44,California,227,235,7
17,5,New Jersey,239,246,7
18,15,Idaho,235,242,7
19,7,Indiana,238,245,7
20,16,Colorado,235,242,7
21,1,Minnesota,242,248,6
22,12,Texas,237,244,6
23,50,Alabama,223,230,6
24,2,Massachusetts,242,247,6
25,33,Maryland,233,239,5
26,21,Montana,236,241,5
27,14,North Dakota,238,243,5
28,48,Louisiana,226,231,5
29,17,Wisconsin,237,242,5
30,6,Wyoming,241,246,5
31,37,Illinois,233,237,5
32,45,Arkansas,229,233,4
33,19,South Dakota,237,241,4
34,34,Missouri,235,238,4
35,29,Delaware,236,239,3
36,20,Ohio,238,241,3
37,22,Maine,238,241,3
38,13,Connecticut,241,243,3
39,24,Iowa,238,241,2
40,8,New Hampshire,243,245,1
41,26,Washington,238,240,1
42,39,South Carolina,236,237,1
43,40,New York,236,237,1
44,47,West Virginia,231,231,1
45,42,Michigan,236,236,0
46,41,Oregon,236,236,0
47,18,North Carolina,242,241,-1
48,46,Alaska,233,232,-1
49,27,Kansas,242,239,-2
50,31,Vermont,242,239,-3
