Growth Rank,2019 Rank,State,2003,2019,Growth
 , ,United States,222,229,7
1,2,Mississippi,216,236,20
2,1,Florida,222,239,17
3,23,Nevada,216,229,13
4,24,Rhode Island,217,229,12
5,34,Illinois,216,226,11
6,36,Hawaii,216,226,10
7,16,Kentucky,220,230,10
8,8,Nebraska,222,233,10
9,15,New Jersey,221,231,10
10,42,Tennessee,216,226,10
11,6,Virginia,225,234,10
12,35,New Mexico,217,226,10
13,5,Indiana,225,235,9
14,40,Arizona,217,226,9
15,46,Maryland,216,224,8
16,31,Georgia,219,227,8
17,18,Oklahoma,223,230,7
18,27,Connecticut,220,227,7
19,47,California,216,223,7
20,10,Utah,225,232,7
21,28,Pennsylvania,220,227,7
22,50,Alabama,213,220,7
23,43,Colorado,219,225,6
24,19,Ohio,224,230,6
25,7,Idaho,227,233,6
26,4,Texas,229,235,6
27,21,Missouri,224,230,5
28,12,Minnesota,226,231,5
29,39,Arkansas,221,226,5
30,38,Wisconsin,221,226,5
31,45,Louisiana,220,224,5
32,14,Massachusetts,226,231,5
33,44,Michigan,220,224,4
34,11,Montana,227,232,4
35,9,New Hampshire,229,232,3
36,3,Wyoming,233,236,3
37,13,North Dakota,228,231,3
38,33,Delaware,225,227,2
39,20,Maine,228,230,2
40,25,Washington,226,228,2
41,41,New York,225,226,1
42,29,Oregon,226,227,1
43,17,North Carolina,229,230,1
44,32,South Carolina,226,227,1
45,22,Vermont,229,229,1
46,49,Alaska,220,220,0
47,30,Iowa,227,227,-0
48,37,South Dakota,227,226,-1
49,48,West Virginia,225,222,-3
50,26,Kansas,231,228,-3
